"","小区名","地区","道路","厅室","面积","层数","联系人","月租"
"1457","海滨新村","宝安-西乡","宝源路","1室0厅","30","3/9","吉合木乃",1600
"1458","六约商住楼","龙岗-横岗","六和路39-1号","1室0厅","35","9/16","周辉云",1450
"1459","沙吓村","龙华-民治","民治大道","1室0厅","25","7/8","江界",3500
"1460","龙军花园","龙华-大浪","和平路,近福龙路","1室0厅","30","6/10","乔耀兴",3300
"1461","金龙华广场","龙华-大浪","龙观路3号","1室0厅","30","2/5","闫志强",700
"1462","福永福华大厦","宝安-福永","福新大道","1室1厅","33","8/13","江策",1950
"1463","金中环商务大厦","福田-福田中心","金田路3037号","1室1厅","31","12/25","刘钰",3500
"1464","泊林花园","罗湖-翠竹","水贝二路38号","1室0厅","28","3/8","李丹",1900
"1465","南昌路86号小区","宝安-西乡","南昌路86号","1室0厅","30","8/15","庄俊仲",1000
"1466","南华大厦","罗湖-国贸","南极路19号","1室0厅","30","5/9","陈彬",1280
"1467","鸿瑞花园","南山-南油","南光路65-22号","1室0厅","35","8/12","李欣",1380
"1468","长城二花园","福田-百花","百花六路27号","1室0厅","28","5/12","任晓凤",1900
"1469","颐林雅院","福田-梅林","中康北路77号","1室0厅","30","2/6","林小晶",900
"1470","盛大百货商城","龙岗-横岗","茂盛路118号","1室0厅","28","3/7","宋曼玲",500
"1471","新田名居","龙华-观澜","牛轭岭177号","1室1厅","45","7/13","冯彪",2100
"1472","泰安轩","福田-车公庙","泰然四路","1室0厅","30","23/32","张文龙",1280
"1473","荔花村","罗湖-蔡屋围","红桂路","1室0厅","30","10/18","曾兵",1680
"1474","长春花园","光明-公明","长春中路98号","1室0厅","26","3/7","李建飞",1000
"1475","岭下花园","宝安-新安","上川路","1室1厅","45","10/15","吴祖倪",1000
"1476","宝安碧海名园","宝安-西乡","宝安大道4002号","1室0厅","28","5/8","李正",1200
"1477","民乐新村","龙华-梅林关口","梅观路","1室1厅","38","29/31","周永杰",2000
"1478","大芬新村","龙岗-丹竹头","东西干道","1室0厅","30","8/16","唐声元",650
"1479","莲丰雅苑","福田-莲花","北环大道4013号","1室1厅","11","3/13","丁家声",900
"1480","同泰时代中心","宝安-福永","蚝业路","1室0厅","32","5/12","张媛",1288
"1481","南昌村105号小区","宝安-西乡","南昌路107号","1室0厅","30","3/6","陈佳伟",1900
"1482","TATA公寓","宝安-新安","新安三路","1室0厅","30","8/13","谭周亚",1500
"1483","辅城坳新村","龙岗-平湖","平龙路","1室1厅","25","18/38","刘欢",1000
"1484","金达花园","宝安-宝安机场","凯成一路","1室1厅","39","24/25","丁京",1200
"1485","上合花园","宝安-新安","公园路","1室0厅","30","3/10","张文静",1280
"1486","泓瀚苑","龙岗-坂田","长发路","1室0厅","28","2/5","何春燕",1200
"1487","祥祺花园","南山-华侨城","沙详街","1室0厅","30","3/6","何志娟",2180
"1488","彩虹新都","福田-岗厦","彩田路","1室0厅","36","3/9","余小玲",560
"1489","流塘阳光","宝安-西乡","前进二路23号","1室1厅","40","15/18","吴兰香",1180
"1490","文德福花园","南山-后海","后海大道2002号","1室1厅","40","10/23","刘绍强",800
"1491","深南花园","南山-科技园","科兴路11号","1室0厅","23","9/10","冯立鹏",1600
"1492","龙富花园","龙岗-布吉","西环路","1室0厅","30","5/8","邹斗苏",1088
"1493","泊林花园","罗湖-翠竹","水贝二路38号","1室0厅","20","8/10","刘琴",1000
"1494","阳光海景豪苑","南山-科技园","高新中四道29号","1室0厅","32","4/7","李洪忠",2620
"1495","前海花园","南山-前海","桃园路288号","1室0厅","28","3/8","成观耀",950
"1496","京基御景华城","福田-赤尾","滨河大道3001号","1室0厅","30","5/12","张文静",1380
"1497","西丽九祥岭","南山-西丽","南天路","1室0厅","23","3/9","黄汉清",1580
"1498","康乐花园","龙岗-横岗","东园路66号","1室0厅","36","8/12","桂明明",1080
"1499","宝能城花园","南山-桃源村","留仙大道","1室0厅","36","3/11","徐小峰",1200
"1500","紫荆花园","罗湖-草埔","金稻田路","1室0厅","30","6/9","黄俊东",850
"1501","莲丰雅苑","福田-莲花","北环大道4013号","1室0厅","23","2/5","殷进爱",1280
"1502","大冲城市花园","南山-科技园","大冲二路","1室1厅","44","6/7","吴帆",2600
"1503","南昌村105号小区","宝安-西乡","南昌路107号","1室1厅","40","12/16","阳斌",1280
"1504","TATA公寓","宝安-新安","新安三路","1室0厅","35","4/10","邓玉文",1880
"1505","辅城坳新村","龙岗-平湖","平龙路","1室1厅","23","5/12","陈思思",4300
"1506","金达花园","宝安-宝安机场","凯成一路","1室0厅","30","8/11","蒋淑月",2440
"1507","南华大厦","罗湖-国贸","南极路19号","1室1厅","41","16/25","伍基豪",5500
"1508","塘尾小区","南山-南头","北环大道","1室1厅","24","15/26","马莉娟",1700
"1509","红湾新村二区","宝安-西乡","宝安大道","1室0厅","36","3/8","吕峰",2500
"1510","长圳新村","光明-公明","长凤路,近长祥路","1室1厅","45","6/9","李胜利",2180
"1511","泓瀚苑","龙岗-坂田","长发路","1室1厅","35","2/6","黄丽红",1600
"1512","祥祺花园","南山-华侨城","沙详街","1室0厅","29","8/16","郭经鹏",5500
"1513","天悦龙庭(二期)","宝安-宝安中心","雅兰路19号","1室1厅","39","24/25","丁京",5200
"1514","星光之约花园","龙岗-坂田","五和大道南路30号","1室0厅","25","9/12","郭进",5800
"1515","彩虹新都","福田-岗厦","彩田路","1室0厅","32","5/9","张媛",3800
"1516","文德福花园","南山-后海","后海大道2002号","1室1厅","20","8/10","彭昭",4500
"1517","香荔花园馨苑","福田-农科中心","农轩路71号","1室0厅","25","3/6","陈玲",3500
"1518","金贝苑","罗湖-翠竹","翠竹路","1室0厅","32","1/10","沈建兵",1700
"1519","前海花园","南山-前海","桃园路288号","1室0厅","28","7/10","柳铭",2580
"1520","京基御景华城","福田-赤尾","滨河大道3001号","1室0厅","30","5/10","易玉姣",2030
"1521","西丽九祥岭","南山-西丽","南天路","1室0厅","28","3/9","朱建君",1360
"1522","伟业大厦","龙华-民治","民治大道606号","1室1厅","46","22/27","王冬",2400
"1523","布吉老圩村","龙岗-布吉","布吉老街,近粤宝路","1室1厅","39","18/25","赵秀宇",3900
"1524","宝能城花园","南山-桃源村","留仙大道","1室0厅","30","2/6","林小晶",7500
"1525","龙华花半里","龙华-清湖","大和路","1室0厅","30","13/17","陶志芬",800
"1526","新洲大厦","福田-新洲","新洲南路3183号","1室0厅","30","6/8","蒋淑月",1500
"1527","金茂礼都","福田-华强北","兰天路","1室0厅","29","10/14","杨蝶",1180
"1528","深发花园","罗湖-黄贝岭","深南东路1013-1015号","1室0厅","35","6/15","付昭术",2000
"1529","祥祺花园","南山-华侨城","沙详街","1室1厅","40","8/19","赵海英",1880
"1530","贤合茂盛小区","龙岗-横岗","红棉二路","1室0厅","25","10/14","黄小粹",1850
"1531","晒布小区","罗湖-东门","晒布路48号","1室0厅","29","3/9","殷金华",2180
"1532","中央花园","福田-石厦","石厦北二街1号","1室0厅","31","3/6","兰星兵",1380
"1533","荣德国际城市综合体","龙岗-横岗","龙岗大道","1室1厅","45","10/12","阳斌",1500
"1534","东和花园","龙华-龙华中心区","和平路156号","1室0厅","30","3/11","骆顺法",10000
"1535","世纪豪庭","福田-车公庙","深南大道6029号","1室0厅","30","3/8","吴健齐",1500
"1536","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","45","8/10","李星",2550
"1537","拍力其大楼","龙岗-坂田","长发中路22号","1室0厅","32","1/9","陈加赵",3000
"1538","锦龙名苑","龙岗-龙岗中心城","碧新路龙岗段2038号","1室0厅","15","12/18","徐凯健",2100
"1539","公园大地","龙岗-大运","龙翔大道","1室0厅","32","8/13","邱晓媚",2200
"1540","梅村楼","福田-梅林","上梅林新村18-1号","1室1厅","48","7/26","郭迪君",1300
"1541","洪福雅苑","宝安-宝安中心","翻身路","1室1厅","42","6/10","邓丽红",3000
"1542","天源大厦","南山-南油","南山大道1153号","1室0厅","28","9/12","宋曼玲",3900
"1543","万骏汇商务公寓","宝安-西乡","西乡大道782号","1室0厅","20","6/10","张海鹏",1980
"1544","后海雅园","南山-后海","湾厦后海大道","1室1厅","21","3/7","高文锋",720
"1545","星河世纪大厦","福田-福田中心","彩田路","1室0厅","25","2/12","周洋洋",2500
"1546","沙浦一路45号小区","宝安-松岗","沙浦一路45号","1室0厅","30","3/6","申元元",1880
"1547","海滨新村","宝安-西乡","宝源路","1室0厅","20","10/28","张海鹏",4600
"1548","赛格科技园公寓","福田-华强北","振兴路120号","1室0厅","30","2/6","林小晶",2180
"1549","中海锦城","龙华-民治","腾龙路","1室0厅","30","10/18","张娅",2750
"1550","硅谷公寓","南山-桃源村","丽山路163号","1室1厅","50","8/10","蹇明兵",4800
"1551","特发信息科技园翠岭居","南山-科技园","科丰路4号","1室0厅","28","3/8","成观耀",2580
"1552","公交集团宿舍","罗湖-草埔","金稻田路1136号","1室1厅","50","10/25","舒祥远",2200
"1553","新天石厦花园","福田-石厦","石厦二街,近石厦路","1室1厅","40","8/12","范朝珍",1800
"1554","南景新村","龙华-民治","民治大道","1室0厅","30","3/13","阿约木牛",2000
"1555","逸秀新村","龙华-梅林关口","新区大道","1室0厅","32","9/18","朱贵芳",1860
"1556","壹方中心(壹方中心玖誉)","宝安-宝安中心","宝华路","1室0厅","31","8/12","谢艳鹏",1680
"1557","碧海花园","宝安-宝安中心","安乐三街212号","1室0厅","30","18/23","韩康连",3050
"1558","理想公馆","福田-梅林","梅林路48号","1室0厅","30","3/12","谢艳鹏",3300
"1559","桦润馨居","龙华-龙华中心区","和平路","1室0厅","33","5/7","魏本强",1200
"1560","天安花园","龙岗-坂田","吉华路","1室0厅","28","3/7","曾橙",2800
"1561","晒布小区","罗湖-东门","晒布路48号","1室0厅","31","8/12","谢艳鹏",1280
"1562","美丽365花园","龙华-龙华中心区","三联路","1室1厅","56","14/28","徐慧",900
"1563","佳兆业上品雅园","龙岗-坂田","发达路","1室0厅","26","3/9","曾凡晓",4500
"1564","星光之约花园","龙岗-坂田","五和大道南路30号","1室0厅","30","2/8","彭素萍",1280
"1565","凯丰花园","福田-梅林","凯丰路8号","1室0厅","30","3/12","谢艳鹏",1400
"1566","城市天地广场","罗湖-国贸","嘉宾路4055号","1室1厅","35","18/27","高其阳",2460
"1567","凯丽花园","南山-科技园","高新中四道6号","1室0厅","33","5/7","魏本强",1300
"1568","上梅林综合楼","福田-梅林","西横街29号","1室0厅","28","1/11","曾莹莹",2000
"1569","四季丽晶","南山-南头","金鸡路53号","1室1厅","35","6/9","杨道海",1100
"1570","都市阳光名苑","福田-车公庙","深南大道6017号","1室0厅","35","10/16","黄俊南",700
"1571","景乐新村","龙华-龙华中心区","东环一路","1室1厅","32","6/8","郭进",1800
"1572","沙尾文化综合楼","福田-新洲","沙尾路,近金地一路","1室0厅","29","6/8","方威武",2200
"1573","万景花园","福田-岗厦","滨河大道5016号","1室1厅","49","16/17","胡丽平",1500
"1574","龙军花园","龙华-大浪","和平路,近福龙路","1室1厅","45","23/28","苏山",1200
"1575","华强广场","福田-华强北","华强北路1019号","1室1厅","18","20/24","梁颖欣",3700
"1576","海岸明珠","南山-南油","创业路2046号","1室1厅","13","9/30","龙川林",1100
"1577","白金酒店公寓","宝安-新安","宝民一路96号","1室1厅","40","5/12","尹芳艳",1500
"1578","深南花园","南山-科技园","科兴路11号","1室0厅","36","3/9","易善哉",1300
"1579","圣淘沙骏园","宝安-西乡","西乡大道286号","1室0厅","30","3/8","郭丹",3800
"1580","上丰花园","龙华-民治","新区大道507-1号","1室0厅","35","7/14","阳涛",1500
"1581","金泓凯旋城","宝安-宝安中心","新安一路20号","1室0厅","30","8/10","蒋淑月",2280
"1582","侨城豪苑(一期)","南山-华侨城","沙河街17号","1室1厅","45","17/31","李勇杰",1480
"1583","佳宁娜友谊广场","罗湖-国贸","人民南路2002号","1室1厅","45","8/10","刘阳",1380
"1584","南水花园","南山-蛇口","南水步行街204号","1室0厅","30","3/8","九别木乃",1200
"1585","上合花园","宝安-新安","公园路","1室0厅","30","5/12","何飞龙",1800
"1586","万象新天一期","宝安-西乡","固戍二路","1室0厅","30","3/11","张诗瑶",1200
"1587","碧海湾花园","宝安-西乡","新湾路305号","1室1厅","50","6/10","徐善果",3300
"1588","颐林雅院","福田-梅林","中康北路77号","1室0厅","33","2/6","杨传超",1400
"1589","佳兆业新都汇","龙岗-布吉","龙岗大道1号","1室0厅","30","2/11","彭素萍",1580
"1590","南山工商物价大厦","南山-南头","深南大道10118号","1室0厅","31","9/13","郑由辉",2300
"1591","桐馨园","罗湖-莲塘","罗沙路","1室0厅","28","7/10","曾琪",1200
"1592","英郡年华","龙岗-丹竹头","岭背路3号","1室1厅","45","8/13","冯晓川",1750
"1593","中城康桥花园二期","龙岗-丹竹头","李朗大道","1室0厅","25","3/8","柳铭",600
"1594","坪洲新村一期","宝安-西乡","海城路259号","1室0厅","35","8/23","谢文标",1000
"1595","桥头荔园小区","宝安-福永","荔园路","1室0厅","23","3/8","张颖",530
"1596","佳兆业大都汇","龙岗-布吉","龙岗大道","1室1厅","42","7/10","杜胜飞",1280
"1597","万象新天三期","宝安-西乡","宝安大道","1室1厅","40","3/8","卢红艺",1000
"1598","招商海月华庭","南山-后海","海月路28号","1室1厅","45","10/18","吴祖倪",750
"1599","颐林雅院","福田-梅林","中康北路77号","1室1厅","40","6/8","黄映纯",1500
"1600","君逸世家花园","宝安-宝安中心","罗田路18号","1室0厅","28","6/9","阳艳",1880
"1601","滨海春城","宝安-宝安中心","翻身路","1室1厅","43","16/32","刘佳栩",2110
"1602","海雅缤纷城君誉","宝安-新安","宝民一路","1室0厅","28","6/12","翁晓洁",920
"1603","龙辉小区","龙华-龙华中心区","广东省深圳市龙华区东环一路龙辉小区(共和小区西北150米)","1室1厅","30","6/9","陈绍杰",1350
"1604","和磡村","龙华-梅林关口","五和大道","1室1厅","48","11/18","陈朝毅",2200
"1605","东环花园","龙华-龙华中心区","东环二路","1室1厅","45","8/15","唐晶虹",1500
"1606","下白石新村","南山-华侨城","沙河街","1室0厅","30","2/12","周先林",950
"1607","裕安居","宝安-新安","裕安二路125号","1室0厅","32","5/9","张媛",1100
"1608","西岸银座","宝安-沙井","蚝乡路","1室0厅","30","3/7","兰星兵",2600
"1609","城市东座","罗湖-莲塘","港莲路","1室0厅","35","9/15","华艳萍",980
"1610","金海岸","南山-南油","创业路9号","1室1厅","35","2/6","朱振宇",3600
"1611","荣泰园","宝安-沙井","宝安大道","1室0厅","30","9/25","黄国庭",2500
"1612","鸿瑞花园","南山-南油","南光路65-22号","1室0厅","32","8/14","陈晨",1280
"1613","锦绣花园","龙华-龙华中心区","龙发路99号","1室0厅","30","3/11","张文静",3000
"1614","三合新村石妹小区","龙华-大浪","华荣路,近华悦路","1室0厅","32","3/9","魏林林",850
"1615","塘尾小区","南山-南头","北环大道","1室1厅","45","7/10","赵芳兴",750
"1616","皇洲花园","福田-岗厦","滨河大道5004-10号","1室0厅","26","3/9","徐教旭",1500
"1617","盛大百货商城","龙岗-横岗","茂盛路118号","1室0厅","30","5/10","姚伟海",1680
"1618","马蹄山村七巷11号小区","龙岗-坂田","马蹄山村七巷11号","1室1厅","40","9/12","高敏",1500
"1619","绿景虹湾","福田-梅林","梅林路","1室0厅","25","5/12","刘凯",1200
"1620","金茂礼都","福田-华强北","兰天路","1室0厅","38","6/18","朱伟南",1780
"1621","富泉新村","龙华-清湖","清泉路","1室0厅","26","3/9","魏林林",2300
"1622","美丽365花园","龙华-龙华中心区","三联路","1室1厅","30","5/10","周维通",1960
"1623","丹平小区","龙岗-丹竹头","沙平北路472号1巷","1室0厅","30","2/6","林小晶",1200
"1624","海天花园","宝安-宝安中心","翻身路362号","1室0厅","22","8/12","张思雅",1000
"1625","光彩新天地","南山-南山中心","南山大道2002号","1室0厅","30","3/13","阿约木牛",750
"1626","西海岸大厦","南山-南油","南海大道2251号","1室0厅","31","6/9","李婷",1280
"1627","泰美园","福田-石厦","石厦北二街6号","1室0厅","33","5/8","朱建君",1000
"1628","旭飞华达园","罗湖-水库","翠竹路2058号","1室0厅","28","4/10","欧阳亚军",1800
"1629","大学城创客小镇","南山-桃源村","留仙大道1201号","1室0厅","30","3/8","章锐",1500
"1630","新海大厦","南山-南头","南山大道2329号","1室0厅","29","3/8","季灶英",2110
"1631","深圳市公安局宿舍区","罗湖-蔡屋围","广场北街21号","1室1厅","36","8/15","舒秀花",920
"1632","固戍福华大厦","宝安-西乡","宝安大道","1室0厅","36","3/9","易善哉",1350
"1633","沙尾西村","福田-新洲","新洲路","1室0厅","28","12/16","黄玉清",2200
"1634","贤华名苑","龙华-清湖","清湖路","1室1厅","47","15/16","沈素娥",1080
"1635","东泉新村","龙华-民治","梅龙路，近民兴街","1室0厅","23","3/9","黄汉清",1300
"1636","汇景豪苑","南山-科技园","科兴路10号","1室1厅","45","8/15","唐晶虹",600
"1637","文锦花园","罗湖-黄贝岭","春风路1046号","1室0厅","35","3/6","肖诚治",950
"1638","布吉新村","龙岗-布吉","龙岗大道","1室0厅","20","5/11","李重阳",2600
"1639","罗湖金岸","罗湖-人民南","沿河南路1070号","1室0厅","36","2/9","彭思敏",3600
"1640","蚝业雅苑","宝安-西乡","盐田新一村九巷","1室1厅","50","17/30","林森林",1750
"1641","都市阳光名苑","福田-车公庙","深南大道6017号","1室0厅","30","3/9","陈建伟",3000
"1642","星光之约花园","龙岗-坂田","五和大道南路30号","1室0厅","36","3/9","易善哉",750
"1643","祥祺花园","南山-华侨城","沙详街","1室1厅","43","10/19","吴汝文",1380
"1644","幸福城(一期)","龙华-清湖","清泉路","1室0厅","32","3/9","徐小峰",1000
"1645","传麒景苑","福田-景田","北环大道7011号","1室0厅","26","2/6","李经牡",600
"1646","沙尾西村","福田-新洲","新洲路","1室1厅","48","7/9","杜飞飞",600
"1647","友谊大厦","罗湖-国贸","建设路1098号","1室1厅","35","6/12","翁晓洁",1500
"1648","富源居","龙岗-丹竹头","南岭东路","1室0厅","30","10/12","宋曼玲",1100
"1649","鸿荣源壹成中心花园","龙华-龙华中心区","人民路4022号","1室0厅","28","2/5","何春燕",1800
"1650","东方华都","罗湖-东门","文锦中路","1室1厅","45","4/9","李巧晓",1100
"1651","百旺研发公寓","南山-西丽","沙河西路5328号","1室1厅","45","27/46","莫丹燕",750
"1652","金地龙城中央","龙岗-龙岗中心城","龙城大道","1室0厅","35","16/24","刘子丹",4000
"1653","天琴阁","宝安-西乡","西乡大道337号","1室1厅","21","3/7","梅鹏",2100
"1654","新田村","罗湖-莲塘","观平路","1室0厅","30","2/15","温维章",2000
"1655","大芬油画苑","龙岗-布吉","湖西路","1室0厅","30","3/8","九别木乃",1399
"1656","荣超花园","龙岗-布吉","荣华路295号","1室0厅","33","16/26","徐会琴",1350
"1657","愉康花园","南山-南山中心","学府路58号","1室0厅","35","5/10","吴明",1280
"1658","泰华阳光海","宝安-西乡","悦和路6号","1室0厅","28","3/8","况文燕",650
"1659","田厦翡翠明珠花园","南山-南头","金鸡路1号","1室0厅","35","9/10","蒋淑月",1280
"1660","锦明花园(锦新明铭邸)","宝安-西乡","银田路43号","1室1厅","40","8/9","刘融丽",950
"1661","海韵嘉园","南山-蛇口","望海路1088号","1室0厅","30","3/8","吉合木乃",1000
"1662","金域豪庭三期","宝安-福永","福一路","1室0厅","25","7/15","付含茜",700
"1663","大芬新村","龙岗-丹竹头","东西干道","1室1厅","38","12/23","周永杰",1100
"1664","沙利公馆","宝安-沙井","中心路106号","1室0厅","31","8/13","李婷",5000
"1665","上丰花园","龙华-民治","新区大道507-1号","1室0厅","36","3/9","徐小峰",550
"1666","东乐花园","罗湖-水库","太安路","1室0厅","32","9/11","蒋淑月",1000
"1667","晒布小区","罗湖-东门","晒布路48号","1室0厅","30","3/11","张诗瑶",1001
"1668","皓月花园","龙华-民治","民康路","1室1厅","40","5/7","陈丽",950
"1669","福民新村","福田-皇岗","福强路","1室0厅","26","8/25","苏山",2500
"1670","祥福雅居","罗湖-笋岗","宝岗路41号","1室1厅","34","5/23","雷浩",3500
"1671","儒骏城立方","龙岗-坂田","坂雪岗大道","1室1厅","34","2/34","霍永强",1350
"1672","宝能华府","南山-西丽","同悦路18号","1室0厅","30","3/11","张诗瑶",1580
"1673","天安高尔夫花园(一期)","福田-车公庙","滨河大道9280号","1室1厅","26","14/25","刘玉琴",1500
"1674","龙泽榕园","龙华-龙华中心区","龙华建设路201号","1室0厅","24","6/18","姜逢达",600
"1675","中信星光名庭","罗湖-东门","童乐路69号","1室0厅","30","3/9","阿于大宝",2460
"1676","隆盛花园","龙岗-横岗","茂盛路","1室0厅","31","9/13","李旭",580
"1677","福田花园大厦","福田-石厦","益田五路49号","1室0厅","32","5/9","张媛",4500
"1678","金域豪庭一期","宝安-福永","福一路","1室0厅","30","3/7","宋曼玲",1050
"1679","百佳华大厦","宝安-西乡","西乡河东路1号","1室0厅","36","9/18","陈云伟",1220
"1680","金洲嘉丽园","龙岗-坂田","石背路2号","1室1厅","45","10/15","吴祖倪",980
"1681","金洲嘉丽园","龙岗-坂田","石背路2号","1室0厅","28","3/7","兰星兵",1400
"1682","龙辉花园","南山-桃源村","龙珠大道159号","1室0厅","25","6/8","陈宗丽",1200
"1683","晒布小区","罗湖-东门","晒布路48号","1室0厅","30","3/11","张诗瑶",950
"1684","富联新村","龙华-清湖","清湖路72号","1室0厅","30","8/12","汪正华",1980
"1685","南光花园","南山-南油","海德二道","1室1厅","32","7/8","江界",1050
"1686","南贸花园","南山-南头","南新路3012号","1室1厅","45","5/8","杨旦",1250
"1687","佳兆业上品雅园","龙岗-坂田","发达路","1室1厅","40","6/15","陈云伟",1800
"1688","凯丰花园","福田-梅林","凯丰路8号","1室1厅","45","9/36","郑今年",850
"1689","上梅林综合楼","福田-梅林","西横街29号","1室0厅","40","12/23","李星",600
"1690","都市阳光名苑","福田-车公庙","深南大道6017号","1室0厅","28","5/15","任晓凤",1380
"1691","龙威花园","龙岗-布吉","京南路26号","1室0厅","30","3/8","季灶英",800
"1692","万景花园","福田-岗厦","滨河大道5016号","1室0厅","30","5/12","晏芳",1080
"1693","龙军花园","龙华-大浪","和平路,近福龙路","1室0厅","29","4/9","骆桂女",980
"1694","苹果园","龙华-民治","龙胜路","1室1厅","40","2/6","刘素娟",2380
"1695","梅龙苑","龙华-龙华中心区","梅龙大道966号","1室0厅","35","8/12","李欣",1980
"1696","海岸明珠","南山-南油","创业路2046号","1室1厅","25","8/10","江界",580
"1697","翠景居","宝安-西乡","宝民二路","1室0厅","30","3/11","张文静",1220
"1698","瑞尚居(富通1号国际)","宝安-西乡","航城大道","1室0厅","30","3/7","刘堂",980
"1699","圣淘沙骏园","宝安-西乡","西乡大道286号","1室0厅","30","12/14","杨蝶",1500
"1700","群星广场","福田-华强北","红荔路38号","1室0厅","48","1/38","黄思伟",1200
"1701","南联新村","龙岗-龙岗中心城","银珠路69号","1室0厅","30","3/8","李丹",1280
"1702","鹏达摩尔城","龙岗-龙岗中心城","龙岗大道6002号","1室1厅","28","9/12","陈锦沾",1380
"1703","上丰花园","龙华-民治","新区大道507-1号","1室0厅","23","3/7","黄彪",850
"1704","南水花园","南山-蛇口","南水步行街204号","1室0厅","30","3/11","黄美全",2000
"1705","星海名城(一期)","南山-前海","前海路","1室1厅","35","2/26","麦华妹",800
"1706","西丽城市公寓","南山-西丽","留仙大道","1室1厅","45","9/12","黄华清",1000
"1707","裕安楼","宝安-新安","裕安二路西一巷","1室0厅","35","12/16","刘晓叶",7500
"1708","金地名津","福田-福田口岸","裕亨路3号","1室1厅","42","8/12","林可仪",1250
"1709","沙尾文化综合楼","福田-新洲","沙尾路,近金地一路","1室0厅","30","5/8","姜逢杰",980
"1710","万象新天三期","宝安-西乡","宝安大道","1室1厅","60","15/26","谷秀容",1000
"1711","碧海湾花园","宝安-西乡","新湾路305号","1室0厅","26","3/9","魏林林",1280
"1712","浪琴屿花园","南山-后海","创业路2033号","1室1厅","28","19/26","刘钰",700
"1713","佳兆业新都汇","龙岗-布吉","龙岗大道1号","1室0厅","30","2/6","林小晶",1300
"1714","云景豪园","罗湖-国贸","春风路2033号","1室2厅","50","25/33","唐利民",1380
"1715","都汇大厦","宝安-石岩","宝石东路","1室1厅","45","7/13","冯彪",1400
"1716","英郡年华","龙岗-丹竹头","岭背路3号","1室0厅","31","6/9","李婷",2000
"1717","坪洲新村一期","宝安-西乡","海城路259号","1室0厅","28","4/10","欧阳亚军",5000
"1718","东门广场","罗湖-东门","湖贝路2163号","1室0厅","30","3/8","九别木乃",1800
"1719","京基御景华城","福田-赤尾","滨河大道3001号","1室1厅","35","13/24","刘子丹",4000
"1720","颐林雅院","福田-梅林","中康北路77号","1室0厅","28","12/16","黄玉清",3500
"1721","民康高级公寓","龙华-民治","民丰路","1室0厅","35","7/16","朱伟南",1380
"1722","海雅缤纷城君誉","宝安-新安","宝民一路","1室0厅","32","11/17","马丽",1500
"1723","新和福海小区","宝安-福永","福洲大道","1室0厅","28","2/6","冷文婷",1200
"1724","东环花园","龙华-龙华中心区","东环二路","1室0厅","35","5/10","张立雯",1600
"1725","上梅林新村","福田-梅林","上梅林新村6号","1室0厅","32","3/9","李娜",3140
"1726","深宝花园","宝安-宝安中心","自由路3号","1室0厅","28","3/8","况文燕",1000
"1727","赤尾村","福田-赤尾","华强南路","1室0厅","32","5/9","张媛",1500
"1728","皇洲花园","福田-岗厦","滨河大道5004-10号","1室0厅","30","10/12","宋曼玲",4500
"1729","水斗富豪新村","龙华-清湖","东环二路","1室0厅","30","8/12","赫贵宾",1360
"1730","马蹄山村七巷11号小区","龙岗-坂田","马蹄山村七巷11号","1室1厅","45","4/9","李巧晓",1380
"1731","绿景虹湾","福田-梅林","梅林路","1室1厅","45","27/46","莫丹燕",1200
"1732","宝能城花园","南山-桃源村","留仙大道","1室1厅","38","8/20","黎志",1380
"1733","新洲中心村","福田-新洲","新洲南路","1室0厅","25","6/8","徐思秋",1000
"1734","竹园小区","福田-农科中心","农林路13号","1室1厅","21","3/7","梅鹏",1690
"1735","南景南约新村","龙岗-龙岗中心城","高科大道88号","1室0厅","30","3/8","吴健齐",1500
"1736","阳明公寓","龙岗-坂田","吉华路","1室0厅","33","2/7","杨传超",1100
"1737","万科四季花城北区","龙华-梅林关口","五和大道","1室0厅","35","17/26","朱伟南",4500
"1738","下水径新村","龙岗-布吉","吉华路","1室0厅","30","3/11","张诗瑶",1450
"1739","久泰公寓","福田-车公庙","滨河大道","1室0厅","36","4/11","易善哉",1680
"1740","半岛花园(B区)","南山-蛇口","近海路56号","1室0厅","25","5/8","陈思思",1800
"1741","百旺研发公寓","南山-西丽","沙河西路5328号","1室0厅","32","3/9","魏林林",800
"1742","友邻公寓","南山-南山中心","桃园路5号","1室1厅","26","24/29","田志国",1000
"1743","金域豪庭二期","宝安-福永","福一路","1室0厅","35","8/12","秧建成",1080
"1744","鹏达摩尔城","龙岗-龙岗中心城","龙岗大道6002号","1室0厅","36","4/9","易善哉",1350
"1745","金地龙城中央","龙岗-龙岗中心城","龙城大道","1室0厅","38","8/14","乔文治",1500
"1746","南昌路86号小区","宝安-西乡","南昌路86号","1室0厅","30","3/8","吉合木乃",1200
"1747","下围园新村一巷22号小区","宝安-西乡","下围园新村一巷22号","1室0厅","25","8/11","罗平",1100
"1748","佳兆业大都汇","龙岗-布吉","龙岗大道","1室1厅","35","6/12","翁晓洁",2680
"1749","旭飞华天苑","罗湖-泥岗","坭岗东路1120号","1室1厅","45","18/32","何文刚",900
"1750","东方银座公馆","南山-南山中心","学府路","1室0厅","28","8/18","陈智会",2300
"1751","联城美园","罗湖-国贸","新安路59号","1室0厅","35","5/7","吕峰",1000
